Activity Name,Activity Date/Time,Activity Type,Duration (sec),Distance (m),Average Speed (m/s),Max Speed (m/s),Total Calories,Avg Power (watts),Normalized Power (watts),Work,Avg Bike Cadence (rpm),Ascent (m),Descent (m),Average HR,Max HR,Primary Benefit,Exercise Load,Avg Respiration Rate,Min Respiration Rate,Max Respiration Rate,Body Battery Impact
Strength,2025-10-30 12:55:44,strength_training,3705.527099609375,0.0,0.0,,507.0,,,,,,,119.0,159.0,,40.324462890625,,,,
Strength,2025-11-02 15:13:51,strength_training,4280.6259765625,0.0,0.0,,576.0,,,,,,,117.0,156.0,,45.818084716796875,,,,
Day 2,2025-11-06 13:28:29,strength_training,5246.43212890625,0.0,0.0,,636.0,,,,,,,114.0,161.0,,43.08409118652344,,,,
fire day 1,2025-11-08 16:20:07,strength_training,3932.1650390625,0.0,0.0,,526.0,,,,,,,116.0,167.0,,49.95159912109375,,,,
Cardio,2025-11-08 17:29:45,indoor_cardio,2350.60302734375,0.0,0.0,,359.0,,,,,,,121.0,144.0,,25.59967041015625,,,,
Day 4,2025-11-10 16:32:49,strength_training,3517.133056640625,0.0,0.0,,381.0,,,,,,,105.0,152.0,,23.908721923828125,,,,
Day 2,2025-11-12 17:03:37,strength_training,2931.31591796875,0.0,0.0,,281.0,,,,,,,99.0,144.0,,13.466323852539062,,,,
200w for 80 mins,2025-11-16 18:14:42,virtual_ride,4896.0,50344.71875,10.281999588012695,16.312000274658203,948.0,202.0,208.98525007595174,,82.0,190.0,0.0,143.0,164.0,,108.50279235839844,,,,
Day 1 Max squat & Quad,2025-11-18 16:12:48,strength_training,1536.5069580078125,0.0,0.0,,196.0,,,,,,,107.0,157.0,,32.80754089355469,,,,
Strength,2025-11-20 15:24:17,strength_training,3412.841064453125,0.0,0.0,,369.0,,,,,,,105.0,144.0,,21.841339111328125,,,,
Cardio,2025-11-21 20:02:25,indoor_cardio,734.197998046875,0.0,0.0,,68.0,,,,,,,94.0,136.0,,2.5321807861328125,,,,
Cardio,2025-11-22 16:48:21,indoor_cardio,5709.72119140625,0.0,0.0,,637.0,,,,,,,109.0,162.0,,50.711151123046875,,,,
Day 3 Max Deadlift & Hinge/back,2025-11-24 10:37:37,strength_training,2669.2451171875,0.0,0.0,,388.0,,,,,,,116.0,167.0,,47.94813537597656,,,,
Day 4: Max Effort Shoulder Press,2025-11-25 10:00:58,strength_training,2882.035888671875,0.0,0.0,,392.0,,,,,,,115.0,162.0,,37.81599426269531,,,,
Indoor Cycling,2025-11-25 17:31:43,indoor_cycling,2647.446044921875,0.0,0.0,,534.0,176.0,242.0,,91.0,,,147.0,186.0,,141.25294494628906,,,,
Virtual Cycling,2025-11-25 17:35:24,virtual_ride,2534.0,22490.91015625,8.875,13.935000419616701,451.0,186.0,252.94653339777162,,92.0,93.0,0.0,148.0,186.0,,153.0984344482422,,,,
Day 1 Max squat & Quad,2025-11-28 16:04:41,strength_training,2383.10498046875,0.0,0.0,,282.0,,,,,,,106.0,158.0,,36.215972900390625,,,,
Squamish-Lillooet Mountaineering,2025-12-06 09:58:42,mountaineering,20377.0,9849.8798828125,0.6159999966621399,4.3979997634887695,632.0,,,,,912.0,473.0,,,,,,,,
Squamish-Lillooet Mountaineering,2025-12-07 09:07:39,mountaineering,11205.0,79739.59375,8.324000358581543,34.06800079345703,2282.0,,,,,940.0,1785.0,,,,,,,,
Strength,2025-12-08 18:24:46,strength_training,3308.81005859375,0.0,0.0,,407.0,,,,,,,111.0,154.0,,33.099884033203125,,,,
Strength,2025-12-14 11:12:20,strength_training,3350.862060546875,0.0,0.0,,505.0,,,,,,,121.0,162.0,,56.19694519042969,,,,
Strength,2025-12-20 16:53:23,strength_training,2994.342041015625,0.0,0.0,,288.0,,,,,,,99.0,142.0,,16.346694946289062,,,,
Strength,2025-12-22 14:36:16,strength_training,3518.089111328125,0.0,0.0,,406.0,,,,,,,109.0,158.0,,22.783050537109375,,,,
Strength,2025-12-27 16:54:23,strength_training,3525.923095703125,0.0,0.0,,395.0,,,,,,,107.0,152.0,,21.833404541015625,,,,
Strength,2025-12-28 13:51:09,strength_training,4527.7548828125,0.0,0.0,,435.0,,,,,,,100.0,142.0,,9.135101318359375,,,,
Cardio,2025-12-30 16:18:34,indoor_cardio,1921.5469970703125,0.0,0.0,,410.0,,,,,,,143.0,175.0,,109.83303833007812,,,,
Strength,2025-12-30 17:27:39,strength_training,2114.0830078125,0.0,0.0,,208.0,,,,,,,100.0,129.0,,5.911041259765625,,,,
Strength,2026-01-01 14:53:24,strength_training,4769.1767578125,0.0,0.0,,644.0,,,,,,,122.0,158.0,,48.6944580078125,,,,
Strength,2026-01-05 15:41:15,strength_training,3613.751953125,0.0,0.0,,342.0,,,,,,,94.0,162.0,,31.757247924804688,,,,
West Vancouver Backcountry Skiing,2026-01-06 12:06:42,backcountry_skiing,1984.552001953125,2429.35009765625,1.2239999771118164,9.317999839782715,473.0,,,,,223.25,223.52999997138977,144.0,165.0,,127.71290588378906,,,,
Strength,2026-01-07 16:19:11,strength_training,4018.10107421875,0.0,0.0,,345.0,,,,,,,90.0,133.0,,5.379974365234375,,,,
North Vancouver District IceBath,2026-01-11 16:34:16,other,746.2340087890625,63.709999084472656,0.08500000089406966,2.4070000648498535,77.0,,,,,2.209999993443489,3.550000011920929,97.0,108.0,,3.449432373046875,,17.719999313354492,17.719999313354492,
Stair Stepper,2026-01-13 17:23:27,stair_climbing,900.0120239257812,0.0,0.0,,227.0,,,,,,,154.0,171.0,,66.10397338867188,,17.18000030517578,38.68000030517578,
Whistler Blackcomb Ski,2026-01-14 11:39:51,resort_skiing,3462.77197265625,8448.669921875,2.440000057220459,28.388999938964847,305.0,,,,,399.3899999856949,341.03999999910593,93.0,164.0,,36.939361572265625,,,,
North Vancouver District IceBath,2026-01-17 17:27:42,other,1041.906005859375,301.8299865722656,0.28999999165534973,0.8579999804496765,16.0,,,,,0.0,2.3199999928474426,,,,2.6861114501953125,,12.739999771118164,22.440000534057617,
Strength,2026-01-21 16:51:21,strength_training,3256.988037109375,0.0,0.0,,488.0,,,,,,,125.0,154.0,,104.02815246582031,,11.789999961853027,35.54999923706055,
Strength,2026-01-24 17:42:46,strength_training,2989.73095703125,0.0,0.0,,274.0,,,,,,,95.0,136.0,,15.287338256835938,,,,
