Date,BMR Calories,Active Calories,Total Steps,Highly Active Seconds,Moderate Intensity Minutes,Vigorous Intensity Minutes,Floors Ascended,Floors Descended,Min Heart Rate,Max Heart Rate,Resting Heart Rate,7 Day Avg RHR,Low Stress %,Medium Stress %,High Stress %,Stress Qualifier,Awake Duration (sec),Asleep Duration (sec),Body Battery Max,Body Battery Min,Average SpO2,Lowest SpO2,Latest SpO2,Avg Respiration Rate,Max Respiration Rate,Min Respiration Rate,Weight (lbs),Body Fat %,HRV Weekly Avg,HRV Last Night Avg,HRV Last Night 5 Min High,HRV Status,Sleep Time (sec),Nap Time (sec),Deep Sleep (sec),Light Sleep (sec),REM Sleep (sec),Awake Sleep (sec),Sleep Avg Respiration,Sleep Min Respiration,Sleep Max Respiration,Awake Count,Avg Sleep Stress,Sleep Score Feedback,Sleep Score Insight,Sleep Score Personalized Insight
2025-10-30,2911.0,1096.0,15808,8745,35,24,30.45472,14.84514,52,141,57,57,25.9,9.34,4.59,STRESSFUL,81540,24000,45,6,94.0,83,96,14.0,24.0,8.0,201.8,14.0,50,40,55,BALANCED,21420,0,3540,17880,0,2580,16.0,10.0,22.0,3,36.0,NEGATIVE_NOT_RESTORATIVE,NONE,STRESS_NEG_POOR_SLEEP_STRESSFUL_EVENING
2025-10-31,2254.0,1108.0,17251,6499,2,37,53.17454,54.97703,54,170,60,57,31.6,9.53,2.66,STRESSFUL,59160,20400,41,5,96.0,88,99,14.0,25.0,7.0,,,48,40,69,BALANCED,20580,0,840,19140,600,300,16.0,11.0,23.0,0,30.0,NEGATIVE_POOR_STRUCTURE,NONE,STRESS_NEG_FAIR_OR_POOR_SLEEP_STRESSFUL_DAY_POOR_HISTORY
2025-11-01,2253.0,189.0,6622,2403,0,0,13.60991,9.59186,54,104,58,57,28.84,8.98,1.12,BALANCED,60000,22140,51,5,96.0,88,93,14.0,25.0,6.0,201.5,13.0,47,44,80,BALANCED,21900,4500,1080,18000,2820,780,15.0,10.0,22.0,2,21.0,NEGATIVE_LIGHT,NONE,GENERAL_NEG_FAIR_OR_POOR_SLEEP
2025-11-02,2346.0,1273.0,17595,6791,48,25,19.09482,19.01017,53,139,56,57,17.22,16.68,4.54,BALANCED,63720,22440,82,8,95.0,85,94,14.0,23.0,7.0,,,48,51,78,BALANCED,27600,0,3660,18480,5460,300,13.0,9.0,19.0,0,17.0,POSITIVE_LONG_AND_CONTINUOUS,NONE,GENERAL_POS_EXCELLENT_OR_GOOD_SLEEP
2025-11-03,2227.0,266.0,7499,2666,0,1,9.17388,11.00131,52,105,55,57,14.15,5.23,1.25,BALANCED,34260,21060,57,11,95.0,90,93,13.0,22.0,7.0,196.9,13.0,46,45,65,BALANCED,23460,2040,1620,16740,5100,60,15.0,9.0,21.0,0,22.0,POSITIVE_CONTINUOUS,NONE,GENERAL_POS_FAIR_OR_POOR_SLEEP
2025-11-04,2227.0,503.0,7845,4286,0,0,10.61647,6.08104,48,111,53,57,6.24,9.6,11.7,BALANCED,43920,23520,87,5,94.0,84,94,15.0,24.0,7.0,,,45,51,78,UNBALANCED,23400,0,3180,15840,4380,540,14.0,8.0,19.0,1,14.0,POSITIVE_RECOVERING,NONE,STRESS_POS_FAIR_OR_POOR_SLEEP_RESTFUL_DAY
2025-11-05,2227.0,247.0,7591,3932,0,0,11.77887,11.64764,51,103,55,56,17.86,3.7,0.63,BALANCED,47640,21660,60,5,95.0,89,94,13.0,23.0,6.0,,,46,51,75,BALANCED,21660,1680,3960,14700,3000,0,14.0,11.0,23.0,0,23.0,POSITIVE_CONTINUOUS,POSITIVE_LATE_BED_TIME,GENERAL_POS_FAIR_OR_POOR_SLEEP
2025-11-06,2239.0,1089.0,10669,5845,45,21,13.0,9.4252,54,149,58,56,23.1,16.82,6.84,STRESSFUL,61500,22380,67,5,95.0,90,92,13.0,23.0,7.0,199.2,11.0,46,44,68,BALANCED,21900,0,3600,16860,1440,480,15.0,11.0,22.0,0,20.0,NEGATIVE_NOT_ENOUGH_REM,NONE,MOD_EXERCISE_NEG_FAIR_OR_POOR_SLEEP_INACTIVITY
2025-11-07,2239.0,376.0,9614,5602,0,0,6.32907,6.07218,49,106,52,55,19.4,9.98,4.12,BALANCED,62760,21300,50,5,95.0,89,95,14.0,24.0,7.0,,,47,43,76,BALANCED,20760,3360,4800,13980,1980,540,15.0,11.0,22.0,0,21.0,NEGATIVE_NOT_ENOUGH_REM,NEGATIVE_STRESSFUL_DAY,STRESS_NEG_FAIR_OR_POOR_SLEEP_STRESSFUL_DAY_POOR_HISTORY
2025-11-08,2239.0,1477.0,14010,4742,64,63,13.30741,10.7582,48,142,50,54,19.2,6.66,1.54,BALANCED,61560,18900,93,14,95.0,87,94,13.0,22.0,6.0,,,49,59,84,BALANCED,20760,3900,1920,15780,3060,0,13.0,10.0,18.0,0,6.0,POSITIVE_RECOVERING,NONE,STRESS_POS_FAIR_OR_POOR_SLEEP_RESTFUL_DAY
2025-11-09,2239.0,429.0,11309,6517,0,1,12.00295,9.67421,49,115,52,54,11.72,4.26,1.33,CALM,62640,21480,72,14,94.0,85,94,14.0,21.0,7.0,,,49,54,77,BALANCED,18600,6660,2820,13860,1920,3360,14.0,8.0,20.0,2,15.0,NEGATIVE_SHORT_AND_POOR_STRUCTURE,NONE,NAPPING_NEG_FAIR_SLEEP_NOTGOOD_DURATION_POOR_QUALITY
2025-11-10,2239.0,976.0,14521,7638,31,11,17.0,16.84055,45,141,48,53,19.06,12.39,3.45,BALANCED,60600,18840,94,10,94.0,88,92,13.0,24.0,6.0,,,51,58,85,BALANCED,25140,0,4260,15120,5760,840,14.0,8.0,20.0,2,11.0,POSITIVE_LONG_AND_RECOVERING,POSITIVE_RESTFUL_DAY,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_VERY_RESTFUL_DAY
2025-11-11,2239.0,581.0,12814,9755,0,2,6.24409,7.62172,44,119,48,52,9.62,5.76,1.97,BALANCED,57600,22140,83,12,95.0,90,94,13.0,22.0,6.0,,,52,57,95,BALANCED,22440,5040,2820,16620,3000,1800,14.0,8.0,22.0,3,11.0,POSITIVE_RECOVERING,NONE,GENERAL_POS_FAIR_OR_POOR_SLEEP
2025-11-12,2239.0,674.0,14615,7420,37,1,7.7605,17.2418,51,117,54,52,31.73,10.41,2.45,STRESSFUL,65940,17340,61,5,94.0,88,94,13.0,23.0,7.0,,,52,49,78,BALANCED,16800,0,3720,12780,300,540,14.0,10.0,19.0,0,18.0,NEGATIVE_SHORT_AND_POOR_STRUCTURE,NONE,MOD_EXERCISE_NEG_FAIR_OR_POOR_SLEEP_INACTIVITY
2025-11-13,2221.0,250.0,9406,6186,0,0,9.0,13.63451,44,99,48,50,13.94,5.32,0.91,CALM,62520,21540,82,8,95.0,89,95,13.0,22.0,6.0,195.7,,53,55,83,BALANCED,25380,0,1260,21060,3060,120,14.0,10.0,20.0,0,14.0,NEGATIVE_LONG_BUT_LIGHT,NONE,STRESS_NEG_FAIR_OR_POOR_SLEEP_STRESSFUL_DAY_POOR_HISTORY
2025-11-14,2221.0,365.0,13327,8803,0,1,10.26345,12.46719,39,98,49,50,18.33,7.67,1.95,BALANCED,61740,22080,92,23,95.0,90,94,13.0,20.0,6.0,,,56,60,82,BALANCED,20700,0,4620,12180,3900,180,13.0,10.0,18.0,0,11.0,POSITIVE_DEEP,POSITIVE_RESTFUL_DAY,STRESS_POS_FAIR_OR_POOR_SLEEP_RESTFUL_DAY
2025-11-15,2221.0,219.0,8038,3630,0,0,7.41831,10.93077,44,101,46,49,16.35,6.2,1.08,BALANCED,69720,11940,100,35,95.0,87,98,13.0,22.0,6.0,,,56,60,82,BALANCED,10980,0,3240,7740,0,360,13.0,10.0,17.0,0,12.0,NEGATIVE_SHORT_AND_POOR_STRUCTURE,NONE,GENERAL_NEG_FAIR_OR_POOR_SLEEP
2025-11-16,2210.0,1004.0,5068,2755,0,0,3.22113,5.86122,44,110,47,49,14.93,7.99,3.15,BALANCED,49320,34740,100,31,96.0,90,99,13.0,22.0,7.0,193.7,,56,56,90,BALANCED,33300,0,2340,27060,3900,2160,13.0,9.0,19.0,1,16.0,POSITIVE_LONG_AND_RECOVERING,NONE,GENERAL_POS_FAIR_OR_POOR_SLEEP
2025-11-17,2224.0,821.0,15610,8383,2,32,10.46391,5.24311,47,173,53,49,27.48,5.8,1.4,BALANCED,53460,26520,59,25,95.0,89,96,13.0,22.0,7.0,196.1,12.0,54,41,71,BALANCED,21840,0,1800,16380,3660,840,14.0,11.0,20.0,1,34.0,NEGATIVE_NOT_RESTORATIVE,NONE,STRESS_NEG_GOOD_OR_FAIR_SLEEP_STRESSFUL_EVENING
2025-11-18,2224.0,759.0,16392,5597,13,30,31.76345,22.76345,44,144,47,49,11.82,4.22,0.56,CALM,60720,18840,97,25,95.0,89,97,13.0,22.0,6.0,,,54,58,85,BALANCED,22740,0,3600,14520,4620,0,13.0,7.0,21.0,0,12.0,POSITIVE_CONTINUOUS,NONE,STRESS_POS_FAIR_OR_POOR_SLEEP_RESTFUL_DAY
