Activity Name,Activity Date/Time,Activity Type,Total Distance (km),Total Duration (min),Total Ascent (m),Total Descent (m),Total Calories,Average HR,Max HR,Aerobic TE,Anaerobic TE,Average Pace (min/km),Average Respiration Rate,Lap #,Lap Distance (m),Lap Time (sec),Lap Pace (min/km),Lap Avg HR,Lap Max HR,Lap Avg Cadence,Lap Max Cadence,Ground Contact Time (ms),GCT Balance (L/R),Vertical Oscillation (cm),Stride Length (m),Vertical Ratio,Lap Ascent (m),Lap Descent (m),Lap Avg Power (watts),Lap Max Power (watts),Lap Avg Respiration Rate
North Vancouver District Trail Running,2025-10-31 06:25:50,trail_running,3.8,32.71,127.47999998927116,125.18999999761581,444.0,147.0,173.0,2.9000000953674316,0.0,1.9379999637603762,,1,3802.76,1962.461,8.6,147.0,173.0,134.109375,245.0,289.79998779296875,,7.840000152587891,0.88,9.210000038146973,127.48,125.19,268.0,614.0,
Virtual Running,2025-11-17 12:41:33,virtual_run,0.73,32.4,,,507.0,156.0,173.0,3.700000047683716,0.0,0.3779999911785126,,1,733.85,1943.927,44.15,156.0,173.0,153.921875,177.0,293.29998779296875,,9.030000305175781,1.02,8.890000343322754,,,319.0,526.0,
heat training HR rocketing!!,2025-11-17 12:42:32,virtual_run,5.02,31.5,0.0,0.0,383.0,157.0,173.0,3.5999999046325684,0.0,2.6579999923706055,,1,5024.14,1890.0,6.27,157.0,173.0,156.0,176.0,,,,1.02,,0.0,0.0,0.0,0.0,
Virtual Running,2025-11-24 13:21:48,virtual_run,4.99,32.88,,,488.0,149.0,163.0,3.299999952316284,0.0,2.5269999504089355,,1,1000.0,451.434,7.52,133.0,153.0,142.25,169.0,295.0,,8.950000000000001,1.0,9.0,,,274.0,399.0,
Virtual Running,2025-11-24 13:21:48,virtual_run,4.99,32.88,,,488.0,149.0,163.0,3.299999952316284,0.0,2.5269999504089355,,2,1000.0,376.835,6.28,147.0,156.0,157.34375,165.0,295.0,,9.040000152587892,1.01,8.930000305175781,,,329.0,394.0,
Virtual Running,2025-11-24 13:21:48,virtual_run,4.99,32.88,,,488.0,149.0,163.0,3.299999952316284,0.0,2.5269999504089355,,3,1000.0,379.121,6.32,153.0,162.0,155.84375,160.0,297.70001220703125,,9.080000305175782,1.01,8.960000038146973,,,326.0,383.0,
Virtual Running,2025-11-24 13:21:48,virtual_run,4.99,32.88,,,488.0,149.0,163.0,3.299999952316284,0.0,2.5269999504089355,,4,1000.0,388.978,6.48,160.0,163.0,154.4375,160.0,302.6000061035156,,9.05,1.0,9.0600004196167,,,317.0,368.0,
Virtual Running,2025-11-24 13:21:48,virtual_run,4.99,32.88,,,488.0,149.0,163.0,3.299999952316284,0.0,2.5269999504089355,,5,985.72,376.64,6.37,157.0,161.0,156.515625,163.0,297.8999938964844,,9.01999969482422,1.0,8.989999771118164,,,322.0,385.0,
slow and low,2025-11-24 13:22:35,virtual_run,5.03,32.73,0.0,0.0,386.0,149.0,163.0,3.4000000953674316,0.0,2.558000087738037,,1,5025.5,1964.0,6.51,149.0,163.0,152.0,168.0,,,,1.01,,0.0,0.0,0.0,0.0,
North Vancouver District Trail Running,2025-11-30 11:40:02,trail_running,5.52,53.81,247.74000000953674,256.7300000190735,693.0,149.0,176.0,3.4000000953674316,2.4000000953674316,1.7079999446868899,,1,1800.28,902.012,8.35,146.0,169.0,109.71875,203.0,289.3999938964844,,8.35,0.98,8.9399995803833,72.59,98.6,236.0,733.0,
